iter	RMSE
0	6.017404636
1	5.769105853
2	5.541104149
3	5.310665916
4	5.089549149
5	4.886187786
6	4.691029164
7	4.50800854
8	4.330753331
9	4.161720342
10	3.997722572
11	3.844647391
12	3.691428185
13	3.56210241
14	3.429425726
15	3.302431625
16	3.183617087
17	3.073489382
18	2.965710527
19	2.859137392
20	2.761792033
21	2.665919182
22	2.578675102
23	2.496947534
24	2.417255812
25	2.343498154
26	2.272835056
27	2.206971983
28	2.147396361
29	2.087408293
30	2.030141821
31	1.97740452
32	1.925669809
33	1.875778248
34	1.831851246
35	1.789911366
36	1.749038422
37	1.709825558
38	1.674526988
39	1.640770007
40	1.609481105
41	1.577373252
42	1.549379069
43	1.522824546
44	1.498586348
45	1.475027453
46	1.453039327
47	1.432048594
48	1.412040473
49	1.394277292
50	1.377163853
51	1.36152513
52	1.34568662
53	1.331691843
54	1.318036654
55	1.305736685
56	1.294353323
57	1.285571575
58	1.27500859
59	1.266234649
60	1.257385853
61	1.247422094
62	1.239056551
63	1.231272089
64	1.224234937
65	1.217360528
66	1.210533214
67	1.204391034
68	1.198787759
69	1.193112233
70	1.187803255
71	1.182425909
72	1.177272854
73	1.171972477
74	1.167618942
75	1.161879933
76	1.158151063
77	1.153735579
78	1.149003146
79	1.14486604
80	1.141332647
81	1.137276668
82	1.133690919
83	1.130684149
84	1.127489752
85	1.124368316
86	1.120804975
87	1.117431154
88	1.1146625
89	1.111222844
90	1.108629965
91	1.106242844
92	1.104222533
93	1.101249089
94	1.097897042
95	1.095975557
96	1.093638439
97	1.090672371
98	1.087170332
99	1.084341536
100	1.081503876
101	1.079411987
102	1.078067345
103	1.075520888
104	1.072889098
105	1.071459588
106	1.069241207
107	1.066963639
108	1.064889786
109	1.06363397
110	1.061727464
111	1.059621373
112	1.058024552
113	1.056443573
114	1.05404668
115	1.052583304
116	1.051094022
117	1.049956167
118	1.047340419
119	1.046128478
120	1.044498791
121	1.043022227
122	1.042137272
123	1.039493353
124	1.038241588
125	1.036418457
126	1.035438775
127	1.03433069
128	1.032759922
129	1.030176729
130	1.029102413
131	1.026128339
132	1.024803512
133	1.023340173
134	1.022434084
135	1.020784396
136	1.019284953
137	1.01848104
138	1.017504322
139	1.015440327
140	1.013753423
141	1.01202381
142	1.01031584
143	1.009010353
144	1.007794822
145	1.006378342
146	1.005138546
147	1.002805705
148	1.001914058
149	0.9999410606
150	0.9985631501
151	0.9966364179
152	0.995622626
153	0.994190123
154	0.9932597654
155	0.9922374717
156	0.990631311
157	0.9893684703
158	0.98697472
159	0.9848342003
160	0.9838567291
161	0.9824930535
162	0.980292272
163	0.9780826301
164	0.9770464945
165	0.9751814537
166	0.9728500709
167	0.9718970593
168	0.9703786571
169	0.9688187719
170	0.9679543942
171	0.9667025575
172	0.9648091659
173	0.9618638439
174	0.959526134
175	0.957528568
176	0.9554298765
177	0.9545380408
178	0.9534903668
179	0.9517575091
180	0.9497283788
181	0.9474320155
182	0.9463763792
183	0.9453319941
184	0.943992966
185	0.9433327927
186	0.941846174
187	0.9404875561
188	0.9379150709
189	0.9353317909
190	0.9340093768
191	0.9329178589
192	0.9310600979
193	0.9297544368
194	0.9285481222
195	0.9273034246
