iter	Passed	Remaining
0	35	35919
1	44	22344
2	52	17531
3	62	15552
4	73	14686
5	79	13096
6	85	12154
7	101	12561
8	107	11882
9	113	11278
10	117	10556
11	120	9939
12	123	9405
13	128	9043
14	131	8640
15	135	8313
16	138	7999
17	141	7745
18	145	7497
19	148	7274
20	151	7071
21	154	6879
22	158	6748
23	161	6586
24	165	6447
25	168	6310
26	171	6194
27	175	6098
28	178	5984
29	181	5877
30	184	5778
31	188	5701
32	192	5636
33	195	5561
34	198	5486
35	202	5419
36	208	5423
37	212	5388
38	216	5337
39	220	5286
40	225	5280
41	229	5231
42	233	5193
43	241	5246
44	245	5210
45	249	5177
46	256	5198
47	261	5186
48	267	5200
49	274	5211
50	278	5183
51	283	5172
52	288	5155
53	291	5110
54	295	5073
55	301	5085
56	305	5059
57	307	5002
58	311	4969
59	314	4931
60	319	4917
61	322	4879
62	325	4847
63	328	4810
64	332	4777
65	335	4753
66	338	4720
67	342	4692
68	345	4660
69	348	4634
70	352	4607
71	355	4581
72	358	4552
73	361	4525
74	365	4503
75	368	4481
76	372	4460
77	375	4433
78	378	4413
79	382	4395
80	385	4374
81	388	4352
82	391	4327
83	395	4309
84	398	4291
85	402	4276
86	406	4270
87	410	4254
88	414	4240
89	418	4231
90	422	4215
91	429	4240
92	433	4229
93	437	4214
94	441	4201
95	449	4228
96	453	4223
97	461	4247
98	467	4255
99	471	4245
100	474	4225
101	479	4221
102	482	4200
103	485	4182
104	488	4163
105	491	4143
106	495	4135
107	498	4117
108	501	4103
109	505	4086
110	508	4072
111	511	4058
112	514	4042
113	518	4026
114	521	4010
115	524	3998
116	527	3982
117	530	3967
118	533	3953
119	536	3937
120	540	3928
121	543	3912
122	546	3898
123	549	3883
124	552	3868
125	556	3857
126	559	3844
127	563	3835
128	565	3821
129	569	3810
130	573	3802
131	576	3792
132	579	3778
133	582	3765
134	585	3754
135	589	3745
136	593	3735
137	595	3721
138	601	3723
139	607	3733
140	611	3727
141	616	3722
142	619	3711
143	623	3707
144	627	3698
145	636	3723
146	642	3727
147	646	3721
148	649	3711
149	656	3721
150	660	3712
151	663	3704
152	668	3701
153	672	3694
154	679	3702
155	685	3710
156	690	3704
157	693	3696
158	697	3687
159	701	3683
160	704	3673
161	708	3665
162	712	3656
163	716	3650
164	719	3640
165	722	3631
166	726	3623
167	729	3615
168	733	3609
169	738	3605
170	741	3594
171	744	3583
172	747	3575
173	751	3565
174	754	3555
175	757	3545
176	760	3536
177	763	3526
178	766	3516
179	769	3506
180	772	3497
181	776	3489
182	780	3482
183	783	3473
184	786	3463
185	789	3453
186	792	3443
187	795	3435
188	798	3427
189	801	3418
190	804	3408
191	807	3399
192	812	3395
193	815	3389
194	819	3382
195	824	3380
196	828	3375
197	831	3366
198	833	3356
199	837	3348
200	840	3340
201	844	3337
202	847	3328
203	850	3319
204	853	3310
205	856	3301
206	860	3297
207	863	3289
208	867	3282
209	870	3274
210	873	3266
211	877	3260
212	880	3252
213	883	3244
214	886	3236
215	890	3230
216	893	3224
217	897	3218
218	900	3213
219	904	3208
220	908	3202
221	912	3198
222	916	3192
223	921	3191
224	925	3187
225	929	3182
226	932	3176
227	936	3170
228	940	3165
229	944	3160
230	947	3154
231	951	3148
232	955	3144
233	959	3141
234	962	3134
235	966	3127
236	969	3121
237	973	3118
238	976	3110
239	979	3102
240	983	3096
241	987	3094
242	991	3087
243	994	3080
244	997	3073
245	1000	3066
246	1004	3063
247	1008	3056
248	1011	3051
249	1014	3044
250	1020	3044
251	1024	3041
252	1029	3040
253	1035	3040
254	1039	3037
255	1043	3031
256	1046	3025
257	1051	3023
258	1054	3015
259	1057	3009
260	1060	3002
261	1063	2996
262	1067	2991
263	1070	2984
264	1073	2978
265	1076	2971
266	1079	2964
267	1082	2957
268	1085	2951
269	1088	2944
270	1092	2937
271	1095	2932
272	1099	2927
273	1102	2922
274	1105	2915
275	1109	2909
276	1112	2903
277	1115	2898
278	1120	2894
279	1123	2889
280	1128	2887
281	1131	2881
282	1135	2877
283	1139	2873
284	1143	2869
285	1147	2864
286	1152	2863
287	1156	2860
288	1161	2857
289	1165	2852
290	1168	2847
291	1172	2843
292	1176	2838
293	1180	2833
294	1183	2828
295	1186	2823
296	1190	2818
297	1194	2813
298	1198	2809
299	1201	2803
300	1204	2797
301	1207	2791
302	1211	2785
303	1215	2782
304	1218	2777
305	1222	2772
306	1226	2767
307	1230	2764
308	1235	2762
309	1238	2756
310	1241	2751
311	1246	2747
312	1249	2741
313	1252	2735
314	1255	2730
315	1258	2724
316	1261	2718
317	1265	2713
318	1268	2707
319	1272	2703
320	1275	2697
321	1278	2692
322	1281	2686
323	1284	2680
324	1288	2677
325	1291	2671
326	1295	2665
327	1298	2659
328	1301	2653
329	1304	2648
330	1307	2642
331	1310	2636
332	1313	2631
333	1316	2625
334	1319	2620
335	1323	2614
336	1326	2609
337	1329	2604
338	1332	2598
339	1336	2594
340	1339	2589
341	1342	2583
342	1345	2577
343	1349	2572
344	1352	2568
345	1356	2564
346	1360	2560
347	1364	2556
348	1368	2552
349	1372	2548
350	1376	2544
351	1380	2540
352	1384	2536
353	1387	2532
354	1391	2527
355	1395	2524
356	1399	2520
357	1404	2518
358	1408	2515
359	1415	2515
360	1419	2513
361	1424	2510
362	1429	2508
363	1434	2507
364	1438	2502
365	1442	2499
366	1447	2496
367	1450	2491
368	1454	2487
369	1457	2482
370	1462	2478
371	1466	2475
372	1469	2469
373	1472	2464
374	1475	2458
375	1479	2455
376	1483	2452
377	1486	2446
378	1489	2441
379	1493	2436
380	1496	2431
381	1500	2427
382	1503	2422
383	1506	2416
384	1511	2414
385	1514	2409
386	1518	2404
387	1521	2399
388	1524	2393
389	1527	2389
390	1532	2387
391	1536	2382
392	1539	2377
393	1542	2372
394	1545	2367
395	1550	2365
396	1554	2360
397	1557	2356
398	1560	2351
399	1565	2348
400	1569	2343
401	1573	2340
402	1577	2336
403	1580	2331
404	1583	2326
405	1586	2321
406	1591	2318
407	1596	2316
408	1600	2312
409	1605	2310
410	1609	2305
411	1613	2303
412	1617	2299
413	1622	2296
414	1627	2293
415	1631	2289
416	1634	2285
417	1639	2282
418	1642	2278
419	1646	2274
420	1650	2270
421	1654	2265
422	1657	2261
423	1661	2256
424	1665	2253
425	1669	2249
426	1673	2245
427	1677	2241
428	1680	2236
429	1685	2233
430	1688	2229
431	1694	2228
432	1701	2228
433	1705	2224
434	1710	2221
435	1714	2218
436	1718	2213
437	1724	2212
438	1728	2208
439	1732	2204
440	1735	2200
441	1741	2198
442	1745	2194
443	1749	2190
444	1753	2187
445	1757	2183
446	1761	2178
447	1765	2175
448	1768	2170
449	1772	2166
450	1775	2161
451	1780	2158
452	1783	2153
453	1786	2149
454	1790	2144
455	1793	2139
456	1797	2135
457	1801	2131
458	1805	2128
459	1809	2123
460	1814	2121
461	1817	2116
462	1821	2112
463	1825	2108
464	1829	2105
465	1834	2102
466	1837	2096
467	1840	2091
468	1845	2089
469	1849	2085
470	1852	2080
471	1855	2075
472	1860	2073
473	1863	2068
474	1867	2063
475	1870	2058
476	1874	2055
477	1878	2051
478	1881	2046
479	1884	2041
480	1888	2037
481	1892	2033
482	1895	2028
483	1899	2025
484	1902	2020
485	1906	2016
486	1909	2011
487	1914	2008
488	1917	2004
489	1920	1999
490	1924	1994
491	1927	1990
492	1932	1987
493	1936	1983
494	1940	1979
495	1944	1976
496	1948	1972
497	1951	1967
498	1956	1963
499	1959	1959
500	1963	1955
501	1966	1951
502	1971	1947
503	1976	1944
504	1980	1941
505	1984	1937
506	1987	1932
507	1991	1928
508	1996	1925
509	1999	1921
510	2003	1917
511	2009	1915
512	2026	1923
513	2030	1919
514	2035	1917
515	2040	1914
516	2045	1911
517	2054	1911
518	2063	1912
519	2069	1910
520	2078	1910
521	2084	1908
522	2092	1908
523	2100	1908
524	2107	1906
525	2113	1904
526	2118	1901
527	2122	1897
528	2126	1893
529	2131	1890
530	2135	1886
531	2138	1881
532	2142	1876
533	2145	1872
534	2149	1868
535	2153	1863
536	2156	1859
537	2159	1854
538	2164	1851
539	2168	1847
540	2171	1842
541	2174	1837
542	2178	1833
543	2183	1830
544	2186	1825
545	2189	1820
546	2192	1815
547	2200	1815
548	2204	1810
549	2207	1806
550	2212	1803
551	2216	1798
552	2219	1794
553	2223	1790
554	2227	1786
555	2230	1781
556	2235	1777
557	2238	1773
558	2242	1768
559	2245	1763
560	2249	1760
561	2252	1755
562	2255	1750
563	2259	1746
564	2262	1741
565	2267	1738
566	2271	1734
567	2275	1730
568	2280	1727
569	2283	1722
570	2287	1718
571	2291	1714
572	2294	1710
573	2298	1705
574	2302	1701
575	2306	1697
576	2309	1693
577	2313	1689
578	2317	1684
579	2320	1680
580	2324	1676
581	2328	1672
582	2331	1667
583	2335	1663
584	2338	1659
585	2342	1655
586	2346	1651
587	2350	1646
588	2354	1642
589	2359	1639
590	2366	1637
591	2370	1633
592	2375	1630
593	2380	1626
594	2383	1622
595	2387	1618
596	2392	1614
597	2396	1610
598	2399	1606
599	2403	1602
600	2408	1599
601	2413	1595
602	2418	1592
603	2423	1588
604	2427	1584
605	2432	1581
606	2437	1577
607	2441	1574
608	2446	1571
609	2451	1567
610	2455	1563
611	2458	1558
612	2462	1554
613	2466	1550
614	2470	1546
615	2474	1542
616	2479	1538
617	2483	1535
618	2486	1530
619	2489	1526
620	2493	1521
621	2498	1518
622	2501	1513
623	2504	1509
624	2508	1505
625	2511	1500
626	2515	1496
627	2519	1492
628	2523	1488
629	2526	1483
630	2532	1481
631	2535	1476
632	2538	1472
633	2542	1467
634	2545	1463
635	2549	1458
636	2553	1455
637	2556	1450
638	2560	1446
639	2563	1441
640	2568	1438
